id;email;date_of_birth;jhi_group
1;Lynn.Green@yahoo.com;2022-09-23T23:30:35;USER
2;Emie_Tromp78@yahoo.com;2022-09-23T04:13:14;ADMIN
3;Johan_Conn@hotmail.com;2022-09-24T00:40:58;USER
4;Faustino.Roob73@gmail.com;2022-09-23T15:37:14;ADMIN
5;Angie.OKeefe@gmail.com;2022-09-23T03:32:44;ADMIN
6;Lizzie.Kilback@gmail.com;2022-09-23T19:57:26;USER
7;Wilfrid_Bogan77@yahoo.com;2022-09-23T18:51:10;USER
8;Tiffany25@gmail.com;2022-09-23T10:07:32;MODERATOR
9;Jaleel_Reynolds85@hotmail.com;2022-09-23T06:16:11;USER
10;Erik.Friesen@gmail.com;2022-09-23T09:18:01;MODERATOR
